fulld,hplayed
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,0.6880519444444444
2020-08-25,0.01961472222222222
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,0.2560538888888889
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,3.231456944444445
2020-09-19,
2020-09-20,1.2071177777777777
2020-09-21,2.015537222222222
2020-09-22,1.041207222222222
2020-09-23,1.9361236111111109
2020-09-24,1.9535877777777777
2020-09-25,2.734715833333334
2020-09-26,0.4780536111111111
